LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Fanteakwa;Begoro;;Odumase East CHPS Zone;;;;;
Fanteakwa;Begoro;;Onuku CHPS Zone;;;;;
Fanteakwa;Bosuso;;Adjeikrom CHPS Zone;;;;;
Fanteakwa;Bosuso;;Asedja/Dorse CHPS;;;;;
Fanteakwa;Bosuso;;Bepoase CHPS Zone;;;;;
Fanteakwa;Bosuso;;Bosuso Health Centre;;;;;
Fanteakwa;Bosuso;;Ehiamankyene (fanteakwa) Clinic;;;;;
Fanteakwa;Bosuso;;Kplandey CHPS Zone;;;;;
Fanteakwa;Dedeso;;Adakope CHPS Zone;;;;;
Fanteakwa;Dedeso;;Dedeso Clinic;;;;;
Fanteakwa;Dedeso;;Odotorm CHPS;;;;;
Fanteakwa;Osino;;Abompe CHPS Zone;;;;;
Fanteakwa;Osino;;Ame Zion Health Centre;;;;;
