AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;JIS;YKS;Jigawa;Yankwashi;Yankwashi
NIE;KDS;BNG;Kaduna;Birnin Gwari;Birnin Gwari
NIE;KDS;KJM;Kaduna;Chikun;Chikun
NIE;KDS;GKW;Kaduna;Giwa;Giwa
NIE;KDS;TRK;Kaduna;Igabi;Igabi
NIE;KDS;KAR;Kaduna;Ikara;Ikara
NIE;KDS;KWB;Kaduna;Jaba;Jaba
NIE;KDS;KAF;Kaduna;Jema'a;Jema'a
NIE;KDS;KCH;Kaduna;Kachia;Kachia
NIE;KDS;DKA;Kaduna;Kaduna North;Kaduna North
NIE;KDS;MKA;Kaduna;kaduna South;Kaduna South
NIE;KDS;KGK;Kaduna;Kagarko;Kagarko
NIE;KDS;KJR;Kaduna;Kajuru;Kajuru
NIE;KDS;KRA;Kaduna;Kaura;Kaura
NIE;KDS;KRU;Kaduna;Kauru;Kauru
NIE;KDS;ANC;Kaduna;Kuban;Kubau
NIE;KDS;HKY;Kaduna;Kudan;Kudan
NIE;KDS;SNK;Kaduna;Lere;Lere
NIE;KDS;MKR;Kaduna;Makarfi;Makarfi
NIE;KDS;SBG;Kaduna;Sabon Gari;Sabon Gari
NIE;KDS;GWT;Kaduna;Sanga;Sanga
NIE;KDS;MGN;Kaduna;Soba;Soba
NIE;KDS;ZKW;Kaduna;Zangon Kataf;Zangon Kataf
NIE;KDS;ZAR;Kaduna;Zaria;Zaria
NIE;KNS;AJG;Kano;Ajingi;Ajingi
NIE;KNS;ABS;Kano;Albasu;Albasu
NIE;KNS;BGW;Kano;Bagwai;Bagwai
NIE;KNS;BBJ;Kano;Bebeji;Bebeji
NIE;KNS;BCH;Kano;Bichi;Bichi
NIE;KNS;BNK;Kano;Bunkure;Bunkure
NIE;KNS;DAL;Kano;Dala;Dala
NIE;KNS;DBT;Kano;Dambatta;Danbatta
NIE;KNS;DKD;Kano;Dawakin Kudu;Dawakin Kudu
NIE;KNS;DTF;Kano;Dawakin Tofa;Dawakin Tofa
NIE;KNS;DGW;Kano;Doguwa;Doguwa
NIE;KNS;FGE;Kano;Fagge;Fagge
NIE;KNS;GSW;Kano;Gabasawa;Gabasawa
NIE;KNS;GAK;Kano;Garko;Garko
