region;district;epidcode;growthrate
Osun;Ede North;EDT;3.2
Osun;Ede South;EDE;3.2
Osun;Egbedore;AAW;3.2
Osun;Ejigbo;EJG;3.2
Osun;Ife Central;FFE;3.2
Osun;Ife East;FEE;3.2
Osun;Ife North;PMD;3.2
Osun;Ife South;FTD;3.2
Osun;Ifedayo;FDY;3.2
Osun;Ifelodun;KNR;3.2
Osun;Ila;LRG;3.2
Osun;Ilesha East;LES;3.2
Osun;Ilesha West;LEW;3.2
Osun;Irepodun;RLG;3.2
Osun;Irewole;KRE;3.2
Osun;Isokan;APM;3.2
Osun;Iwo;WWD;3.2
Osun;Obokun;BKN;3.2
Osun;Odo-Otin;DTN;3.2
Osun;Ola-Oluwa;BDS;3.2
Osun;Olorunda;GNN;3.2
Osun;Oriade;JJS;3.2
Osun;Orolu;FNN;3.2
Osun;Osogbo;SGB;3.2
Oyo;Afijio;JBL;3.4
Oyo;Akinyele;MNY;3.4
Oyo;Atiba;FMT;3.4
Oyo;Atisbo;TDE;3.4
Oyo;Egbeda;EGB;3.4
Oyo;Ibadan North;BDJ;3.4
Oyo;Ibadan North East;AGG;3.4
Oyo;Ibadan North West;NRK;3.4
Oyo;Ibadan South East;MAP;3.4
Oyo;Ibadan South West;LUY;3.4
Oyo;Ibarapa Central;GBR;3.4
Oyo;Ibarapa East;RUW;3.4
Oyo;Ibarapa North;AYT;3.4
Oyo;Ido;DDA;3.4
Oyo;Irepo;KSH;3.4
Oyo;Iseyin;SEY;3.4
Oyo;Itesiwaju;TUT;3.4
Oyo;Iwajowa;WEL;3.4
Oyo;Kajola;KEH;3.4
Oyo;Lagelu;YNF;3.4
Oyo;Ogbomosho North;KNH;3.4
Oyo;Ogbomosho South;AME;3.4
Oyo;Ogo Oluwa;AJW;3.4
Oyo;Olorunsogo;GBY;3.4
Oyo;Oluyole;YRE;3.4
Oyo;Ona Ara;AKN;3.4
Oyo;Orelope;GBH;3.4
Oyo;Ori Ire;KKY;3.4
Oyo;Oyo East;YYY;3.4
Oyo;Oyo West;JND;3.4
Oyo;Saki East;GMD;3.4
Oyo;Saki West;SHK;3.4
Oyo;Surulere;RSD;3.4
Plateau;Barkin Ladi;BLD;2.7
Plateau;Bassa;BSA;2.7
Plateau;Bokkos;BKK;2.7
Plateau;Jos East;ANW;2.7
Plateau;Jos North;JJN;2.7
Plateau;Jos South;BUU;2.7
Plateau;Kanam;DNG;2.7
Plateau;Kanke;KWK;2.7
Plateau;Langtang North;LGT;2.7
Plateau;Langtang South;MBD;2.7
Plateau;Mangu;MGU;2.7
Plateau;Mikang;TNK;2.7
Plateau;Pankshin;PKN;2.7
Plateau;Qua'an Pan;QAP;2.7
Plateau;Riyom;RYM;2.7
Plateau;Shendam;SHD;2.7
Plateau;Wase;WAS;2.7
Rivers;Abua/Odual;ABU;3.4
Rivers;Ahoada East;AHD;3.4
Rivers;Ahoada West;KNM;3.4
Rivers;Akuku Toru;ABM;3.4
Rivers;Andoni;NDN;3.4
Rivers;Asari-Toru;BGM;3.4
Rivers;Bonny;BNY;3.4
Rivers;Degema;DEG;3.4
Rivers;Eleme;NCH;3.4
Rivers;Emuoha;MHA;3.4
Rivers;Etche;KHE;3.4
Rivers;Gokana;KPR;3.4
Rivers;Ikwerre;SKP;3.4
Rivers;Khana;BRR;3.4
Rivers;Obio/Akpor;RUM;3.4
Rivers;Ogba/Egbema/Ndoni;RGM;3.4
Rivers;Ogu/Bolo;GGU;3.4
Rivers;Okrika;KRK;3.4
Rivers;Omumma;BER;3.4
Rivers;Opobo/Nkoro;PBT;3.4
Rivers;Oyigbo;AFM;3.4
Rivers;Port-Harcourt;PHC;3.4
Rivers;Tai;SKN;3.4
Sokoto;Binji;BNJ;3.0
Sokoto;Bodinga;BDN;3.0
Sokoto;Dange-Shuni;DGS;3.0
Sokoto;Gada;GAD;3.0
Sokoto;Goronyo;GRY;3.0
Sokoto;Gudu;BLE;3.0
Sokoto;Gwadabawa;GWD;3.0
Sokoto;Illela;LLA;3.0
Sokoto;Isa;SAA;3.0
Sokoto;Kebbe;KBE;3.0
Sokoto;Kware;KWR;3.0
Sokoto;Rabah;RBA;3.0
Sokoto;Sabon Birni;SBN;3.0
Sokoto;Shagari;SGR;3.0
