region;district;community
Vatovavy Fitovinany;Manakara Atsimo;Anteza
Vatovavy Fitovinany;Manakara Atsimo;Saharefo
Vatovavy Fitovinany;Manakara Atsimo;Ampasimboraka
Vatovavy Fitovinany;Ikongo;Ikongo
Vatovavy Fitovinany;Ikongo;Ambolomadinika
Vatovavy Fitovinany;Ikongo;Ambatofotsy
Vatovavy Fitovinany;Ikongo;Belemoka
Vatovavy Fitovinany;Ikongo;Maromiandra
Vatovavy Fitovinany;Ikongo;Manampatrana
Vatovavy Fitovinany;Ikongo;Ambinanitromby
Vatovavy Fitovinany;Ikongo;Ifanirea
Vatovavy Fitovinany;Ikongo;Tanakambana
Vatovavy Fitovinany;Ikongo;Sahalanona
Vatovavy Fitovinany;Ikongo;Tolongoina
Vatovavy Fitovinany;Ikongo;Ambohimisafy
Vatovavy Fitovinany;Ikongo;Ankarimbelo
Vatovavy Fitovinany;Ikongo;Antodinga
Vatovavy Fitovinany;Ikongo;Kalafotsy
Vatovavy Fitovinany;Vohipeno;Vohipeno
Vatovavy Fitovinany;Vohipeno;Vohitrindry
Vatovavy Fitovinany;Vohipeno;Vohindava
Vatovavy Fitovinany;Vohipeno;Ivato
Vatovavy Fitovinany;Vohipeno;Savana
Vatovavy Fitovinany;Vohipeno;Anoloka
Vatovavy Fitovinany;Vohipeno;Mahabo
Vatovavy Fitovinany;Vohipeno;Ankarimbary
Vatovavy Fitovinany;Vohipeno;Lanivo
Vatovavy Fitovinany;Vohipeno;Nato
Vatovavy Fitovinany;Vohipeno;Mahasoabe
Vatovavy Fitovinany;Vohipeno;Onjatsy
Vatovavy Fitovinany;Vohipeno;Vohilany
Vatovavy Fitovinany;Vohipeno;Andemaka
Vatovavy Fitovinany;Vohipeno;Ifatsy
Vatovavy Fitovinany;Vohipeno;Antananabo
Vatovavy Fitovinany;Vohipeno;Ilakatra
Vatovavy Fitovinany;Vohipeno;Sahalava
Vatovavy Fitovinany;Vohipeno;Mahazoarivo
Atsimo Atsinanana;Farafangana;Farafangana
Atsimo Atsinanana;Farafangana;Vohimasy
Atsimo Atsinanana;Farafangana;Anosivelo
Atsimo Atsinanana;Farafangana;Anosy Tsararafa
Atsimo Atsinanana;Farafangana;Vohitromby
Atsimo Atsinanana;Farafangana;Ivandrika
Atsimo Atsinanana;Farafangana;Manambotra Atsimo
Atsimo Atsinanana;Farafangana;Mahavelo
Atsimo Atsinanana;Farafangana;Mahafasa Centre
Atsimo Atsinanana;Farafangana;Amporoforo
Atsimo Atsinanana;Farafangana;Iabohazo
Atsimo Atsinanana;Farafangana;Tangainony
Atsimo Atsinanana;Farafangana;Beretra Bevoay
Atsimo Atsinanana;Farafangana;Ambohigogo
Atsimo Atsinanana;Farafangana;Maheriraty
Atsimo Atsinanana;Farafangana;Mahabo Mananivo
Atsimo Atsinanana;Farafangana;Ambohimandroso
Atsimo Atsinanana;Farafangana;Ankarana Miraihina
Atsimo Atsinanana;Farafangana;Evato
